"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00077562",0,2,0,3,0,5,6,1,1,7,15,0,10,8,2,12,6
"WBGene00077563",16,0,35,2,14,2,43,1,24,6,1,52,1837,6,214,3,34
"WBGene00077564",38,0,5,115,25,2,44,2,120,13,24,42,42,6,43,60,40
"WBGene00077565",9,3,0,54,1,3,4,6,0,1,447,0,1,4,2,12,6
"WBGene00077566",1,3,0,0,0,2,4,4,2,2,1,0,1,0,0,1,14
"WBGene00077569",1,3,572,5,5,2,6,3,6,4,0,234,4127,2,471,7,10
"WBGene00077573",24,4,4,2854,3,6,42,13,400,14,1228,24,15,3,8,1208,51
"WBGene00077574",4,3,1,2,3,4,8,6,73,1,3,1,2,5,1,1,39
"WBGene00077576",4,5,69,3,1,6,3,3,53,0,3,41,226,3,66,0,3
"WBGene00077577",4,0,1,33,0,2,8,1,44,14,21,3,20,0,9,13,20
"WBGene00077582",8,0,35,3,17,0,10,2,5,1,0,47,1036,4,31,0,30
"WBGene00077583",0,1,4,0,1,2,0,1,1,2,0,0,6,0,5,0,0
"WBGene00077584",0,2,0,6,0,0,3,3,6,1,2,1,1,2,4,2,10
"WBGene00077585",14,1,76,52,41,2,236,5,274,17,46,35,943,20,58,14,995
"WBGene00077588",0,3,0,10,0,2,11,1,115,8,7,2,3,2,2,16,10
"WBGene00077590",1,1,0,8,0,0,1,1,1,1,1,0,1,1,1,5,2
"WBGene00077592",816,5,1,9,376,2,732,4,27,20,27,10,59,33,7,6,579
"WBGene00077593",17,1,17,24,7,1,149,8,1024,21,29,50,103,6,49,37,49
"WBGene00077594",134,1,22,144,202,8,294,26,690,60,171,130,156,55,124,191,211
"WBGene00077596",4,2,0,0,1,1,8,0,2,1,1,0,3,5,0,3,22
"WBGene00077599",39,1,8,96,24,8,94,24,49,16,285,18,26,8,26,39,57
"WBGene00077604",0,1,0,28,0,0,4,0,0,1,8,0,1,0,1,9,8
"WBGene00077607",1,4,15,3,2,2,13,18,5,3,1,1,88,2,23,1,203
"WBGene00077613",22,6,0,23,24,1,43,7,7,1,6,0,4,10,2,4,101
"WBGene00077616",13,2,0,59,4,2,14,0,27,4,46,1,11,8,3,127,13
"WBGene00077619",0,3,0,3,0,2,0,7,0,2,0,0,3,2,2,0,3
"WBGene00077621",0,2,0,0,0,3,7,1,29,4,1,0,3,5,7,0,41
"WBGene00077622",0,2,0,1,0,2,3,0,12,1,0,1,3,2,3,1,4
"WBGene00077624",1,1,0,8,0,2,14,2,1,2,3,0,5,7,4,11,20
"WBGene00077625",4,0,0,5,0,2,8,0,0,1,0,0,0,2,1,2,4
"WBGene00077631",0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,5
"WBGene00077633",0,0,0,2,0,0,0,2,0,1,1,0,4,0,1,0,11
"WBGene00077634",0,0,0,2,3,2,5,8,4,1,9,0,3,7,1,0,19
"WBGene00077640",0,0,1,0,0,0,11,1,27,7,6,0,3,7,2,5,19
"WBGene00077643",2208,109,310,1048,3244,368,2273,983,5907,770,827,693,907,1320,723,888,6213
"WBGene00077653",0,6,10,0,0,0,2,3,6,1,0,0,9,0,33,0,35
"WBGene00077655",0,4,0,1,1,3,3,1,5,4,0,0,2,11,2,0,17
"WBGene00077658",1925,671,1425,1461,2744,282,2800,1402,1897,431,1027,580,664,1034,1636,1074,10262
"WBGene00077662",6,7,10,0,7,7,44,92,3,3,1,1,9,18,0,0,633
"WBGene00077663",34,6,34,1,58,193,317,1209,8,4,11,0,5,97,4,0,3304
"WBGene00077669",985,0,17,340,1146,9,2159,40,421,71,619,74,683,210,23,300,3912
"WBGene00077673",3,2,1,110,0,1,11,11,13,6,120,0,25,2,46,250,33
"WBGene00077674",6,2,0,45,1,2,20,0,1,5,12,6,84,2,4,34,36
"WBGene00077679",38,3,4,87,18,3,111,11,86,21,81,14,21,7,7,81,79
"WBGene00077680",7,2,3,26,12,1,24,5,85,3,30,7,22,13,6,47,31
"WBGene00077681",17,4,1,242,7,1,42,1,161,43,402,16,18,2,8,286,17
"WBGene00077682",0,0,30,2,0,0,3,0,24,2,2,13,644,1,185,6,6
"WBGene00077684",18,1,14,20,15,1,79,5,25,12,116,33,307,4,65,85,132
"WBGene00077685",1,0,68,2,0,2,33,0,81,4,10,33,1498,3,236,7,178
"WBGene00077686",1,0,0,1,0,0,1,2,2,0,0,0,0,1,1,0,7
"WBGene00077687",431,2,13,698,783,16,1439,106,1004,75,366,68,310,320,13,255,6765
"WBGene00077688",13,3,1,1,7,3,24,4,233,7,4,1,8,7,0,0,76
"WBGene00077689",645,2,4,116,945,14,532,58,603,21,91,6,30,236,5,196,876
"WBGene00077690",502,91,91,221,662,94,682,417,1429,224,282,634,410,227,612,319,1062
"WBGene00077691",316,3,23,45,8,1,5056,12,133,323,674,317,11722,3,138,7,7063
"WBGene00077692",29,3,32,14654,9,8,192,4,218,55,4349,48,1142,2,75,3707,340
"WBGene00077693",467,7,677,12660,149,3,2820,12,100199,2721,10680,2129,614,14,1124,6925,538
"WBGene00077696",1,2,39,8,0,2,9,1,136,2,5,38,319,2,109,13,5
"WBGene00077697",9821,4,57,316,4991,9,16062,40,344,455,3444,3033,16771,435,406,130,11044
"WBGene00077698",8,7,15,337,1,4,111,6,211,61,156,53,68,9,32,248,51
"WBGene00077699",34,1,30,27,72,20,49,33,75,17,11,11,750,32,132,21,107
"WBGene00077701",426,4,284,4014,779,12,392,221,3602,455,6804,1365,774,213,1732,4491,560
"WBGene00077703",572,2,1,1,1881,469,736,111,12,21,6,17,75,631,2,3,1321
"WBGene00077704",0,1,0,830,3,0,11,0,137,1,1724,8,0,0,1,240,5
"WBGene00077712",1312,4,93,820,1981,75,1784,75,3699,252,1019,290,223,471,207,1092,783
"WBGene00077714",69,1,13,451,60,99,255,114,123,48,624,71,974,16,66,547,327
"WBGene00077728",131,4,98,300,305,638,632,422,391,79,224,167,710,356,163,453,974
"WBGene00077732",1590,3145,5982,1200,764,53,1687,443,796,120,552,614,1598,317,10111,627,12720
"WBGene00077750",0,0,2,2,0,0,2,0,2,0,1,7,411,1,24,1,1
"WBGene00077751",16,6,7,15,6,7,85,20,412,27,8,24,36,11,28,7,249
"WBGene00077752",30,4,3,16,28,1,21,2,22,5,29,11,55,5,11,7,24
"WBGene00077753",2,2,0,4,1,2,19,0,93,106,5,0,13,4,4,3,23
"WBGene00077756",468,2,4,68,1933,78,1175,451,87,34,45,3,29,718,20,73,3451
"WBGene00077757",69,0,182,38,20,5,193,4,615,664,184,616,1242,6,1265,585,78
"WBGene00077758",0,2,0,0,2,8,23,3,30,3,1,1,6,13,4,1,20
"WBGene00077759",1,9,0,0,0,5,21,2,44,5,2,0,3,8,4,0,68
"WBGene00077761",8924,111,2690,13277,10008,1384,23591,6652,39055,4284,8730,3737,6303,6124,2569,7730,39198
"WBGene00077762",9,2,3,37,5,11,35,1,85,22,28,19,40,5,68,40,30
"WBGene00077763",123,4,1,188,38,1,353,2,550,166,112,62,27,5,32,116,56
"WBGene00077764",16,5,1676,33,93,308,833,224,1946,92,37,818,6821,165,1627,55,428
"WBGene00077766",0,1,0,469,1,0,3,5,295,5,202,0,2,3,2,133,19
"WBGene00077768",144,6,0,12,343,34,236,79,217,17,21,12,134,96,11,13,210
"WBGene00077769",107,3,5,5,63,11,222,70,739,40,8,10,20,13,7,2,468
"WBGene00077770",29,0,171,1796,77,3,92,14,858,302,2220,1016,449,49,881,1813,11
"WBGene00077771",13958,1701,4133,8462,14289,1824,15791,5918,13157,3252,21159,5138,3864,4291,6691,5513,33518
"WBGene00077772",549,9,193,914,1660,244,1828,1336,287,27,965,288,207,1287,152,663,5896
"WBGene00077773",127,6,121,439,392,750,1402,915,441,69,573,111,399,278,87,157,4697
"WBGene00077775",80,3,32,1846,15,2,747,5,3714,262,1398,255,939,4,186,1756,424
"WBGene00077781",9,7,22,76,13,8,66,10,68,15,80,31,178,8,51,88,176
"WBGene00077782",0,0,8,25,0,2,5,0,116,3,39,11,110,2,48,25,5
"WBGene00077783",11,1,57,37,13,4,65,4,527,88,112,160,127,4,180,442,12
"WBGene00077786",312,9,14,130,301,178,1026,468,820,80,217,40,275,189,24,93,982
"WBGene00077788",49,0,0,52,16,2,260,0,25,1,42,2,1,2,0,22,43
"WBGene00077789",11,0,0,0,4,0,16,1,41,1,14,4,1,4,0,119,7
"WBGene00086546",1162,83,906,2532,1975,175,3116,742,1352,501,1760,479,2106,709,2477,1934,8009
"WBGene00086551",497,754,872,832,551,111,704,1274,105,71,301,418,601,195,3069,425,8604
"WBGene00086552",1,0,0,10,1,2,6,1,8,11,6,0,1,5,0,1,15
"WBGene00086553",2,2,7,84,2,1,28,5,241,6,33,21,121,3,16,58,21
"WBGene00086554",1,5,52,3,3,7,4,1,8,3,2,161,882,2,574,11,8
"WBGene00086555",19,4,29,0,76,398,348,1415,8,2,3,8,44,271,1,5,4286
"WBGene00086556",0,0,2,22,0,1,6,1,34,24,12,32,102,3,18,29,9
"WBGene00086557",92,3,28,462,63,4,447,2,412,110,410,121,223,17,142,274,144
"WBGene00086558",4,4,5,33,4,20,32,10,31,9,14,1,8,10,8,12,102
"WBGene00086559",76,2,2,45,17,0,252,0,470,34,70,12,45,3,12,171,199
"WBGene00086560",3,0,1,2503,1,1,20,5,237,17,13394,28,22,4,1,1781,44
"WBGene00086562",9,8,10,1,34,151,126,827,20,5,1,0,11,46,5,0,1708
"WBGene00086563",1,1,0,0,0,0,2,0,7,0,0,0,2,1,0,2,13
"WBGene00086564",1,0,2,3,3,8,8,3,15,3,7,2,35,4,5,12,27
"WBGene00086565",0,0,4,714,0,1,0,0,4,1,782,0,15,2,22,672,5
"WBGene00086566",573,898,705,2017,1394,235,1206,1141,1978,206,846,580,483,952,2722,963,4988
"WBGene00086567",2,2,9,3,6,3,6,3,4,3,2,2,87,5,14,0,36
"WBGene00086568",16,17,18,2297,25,4,72,17,152,15,4050,34,102,13,126,438,103
"WBGene00086569",5,1,46,1043,8,2,106,0,1241,172,754,261,881,4,221,895,82
"WBGene00119201",0,4,5,3,0,0,0,0,12,0,3,0,3,0,2,1,3
"WBGene00119203",420,4,42,1961,164,28,1403,76,2394,297,1819,264,557,49,135,1322,1110
"WBGene00119204",0,2,34,546,0,2,66,1,65,53,1471,471,843,3,308,227,19
"WBGene00138711",1140,1,12,11,416,13,1594,41,99,438,29,407,2861,51,98,17,986
"WBGene00138714",0,0,0,7,0,1,1,0,7,1,2,0,9,2,1,22,0
"WBGene00138715",4,0,2,2,0,1,4,1,2,1,1,1,14,1,3,1,4
"WBGene00138716",0,2,0,2,0,2,5,1,3,4,1,0,7,1,1,0,16
"WBGene00138717",664,89,268,1331,883,443,1668,836,1876,210,743,446,2690,631,1139,853,5484
"WBGene00138719",0,1,6,22,0,2,7,0,24,5,9,25,3312,8,70,1,25
"WBGene00138720",458,351,279,620,1298,576,817,1413,582,196,502,452,274,584,1163,535,1777
"WBGene00138721",53,1,7,408,50,0,89,2,183,25,1301,53,41,11,24,197,23
"WBGene00138724",14,4,5,267,107,57,311,23,78,26,375,46,454,58,89,240,185
"WBGene00164968",16,6,48,323,113,31,86,100,46,27,198,39,268,82,256,185,423
"WBGene00164969",38,2,3,23,13,0,590,1,71,80,88,68,1114,5,43,10,519
"WBGene00164971",281,3,0,20,664,14,438,95,11,7,6,18,18,188,5,5,582
"WBGene00164972",54,2,0,13,191,12,103,21,7,2,8,6,2,69,2,8,218
"WBGene00164973",443,3,4,193,940,40,825,6940,471,133,189,51,332,188,26,79,739
"WBGene00164974",4,2,35,1,4,6,19,64,8,1,0,0,5,7,7,1,417
"WBGene00164985",670,176,166,186,742,352,1378,858,423,41,176,94,365,264,206,150,5282
"WBGene00164986",25,12,6,46,41,2,91,30,652,34,21,13,37,29,34,33,545
"WBGene00175027",648,3,24,461,233,2,4482,9,221,1434,5157,449,8686,8,110,153,5791
"WBGene00175028",0,1,0,64,1,2,6,4,42,4,3385,0,5,3,3,5,33
"WBGene00175030",946,526,450,1482,1896,382,1404,1690,1860,235,992,519,601,878,2109,1126,4443
"WBGene00175031",111,0,28,251,120,1,277,2,298,48,112,100,255,16,42,160,406
"WBGene00175034",265,1,1,308,132,2,422,3,251,216,137,20,96,8,19,110,149
"WBGene00175035",268,5,121,659,499,52,416,137,455,61,306,147,1737,168,512,432,619
"WBGene00184956",23,1,2,6,12,0,23,0,14,11,2,25,201,8,3,12,59
"WBGene00184990",135,519,574,671,174,128,464,491,121,24,337,188,488,97,1695,337,2782
"WBGene00185001",1519,72,96,647,2523,93,1678,494,906,225,614,560,758,916,325,511,3411
"WBGene00185002",95,36,753,863,239,10,279,47,191,139,272,369,2234,86,1992,342,815
"WBGene00185005",64,4,42,187,131,29,127,20,165,14,62,56,54,50,300,202,21
"WBGene00185006",1,2,13,2,4,2,10,3,27,4,0,14,167,5,85,14,7
"WBGene00185014",856,9,154,1329,2428,394,1186,399,3610,265,1063,1195,142,1073,1097,1551,572
"WBGene00185048",312,170,289,629,873,2636,1034,4149,601,162,719,437,4037,1108,1055,657,7052
"WBGene00185055",9,2,33,14,4,0,35,0,46,3,8,7,185,5,179,3,27
"WBGene00185067",485,344,117,300,753,752,1009,1903,395,225,294,378,411,721,799,304,3492
"WBGene00185077",56,1,27,7,137,99,159,465,28,2,15,10,77,86,30,7,1208
"WBGene00185078",304,256,625,638,517,332,1288,747,1837,421,726,531,2726,317,1356,778,8484
"WBGene00185079",702,148,285,1076,1136,581,1430,852,1650,355,1015,470,518,552,943,1071,2269
"WBGene00185086",486,1177,1036,829,432,123,614,772,936,97,438,479,1752,184,3425,464,5136
"WBGene00185088",307,119,114,685,376,291,381,333,399,123,359,182,171,157,391,381,1279
"WBGene00185089",121,149,160,485,133,14,189,123,63,32,244,152,818,64,755,222,1437
"WBGene00185092",71,4,40,249,9,0,244,1,1797,78,130,140,374,5,151,299,137
"WBGene00185095",31,1,2,34,41,1,8,3,16,84,221,71,72,4,7,6,3
"WBGene00185096",0,1,0,9,0,3,4,3,3,1,97,7,11,3,4,6,4
"WBGene00185097",2,0,27,1,1,2,2,3,4,1,1,31,579,8,106,0,12
"WBGene00185098",854,21,58,288,733,333,1140,416,713,107,207,100,72,319,212,216,990
"WBGene00185100",0,1,0,3,0,2,4,2,37,1,4,0,1,1,8,1,1
"WBGene00185101",1,0,0,2,2,0,2,1,5,2,0,0,0,2,0,0,7
"WBGene00185102",252,52,16,79,648,394,627,665,115,65,79,33,33,329,39,33,633
"WBGene00185116",3,2,0,54,3,0,15,0,6,7,323,17,15,4,1,2,13
"WBGene00185117",70,3,20,40,178,128,93,105,94,2,24,16,210,91,180,20,93
"WBGene00185118",1702,22,48,1114,2812,1273,1380,1777,344,263,1590,1134,940,1042,716,1234,2137
"WBGene00185119",18,1,5,1,179,150,125,415,7,1,3,2,6,198,0,9,831
"WBGene00189930",1,3,0,0,0,0,0,0,0,3,0,0,10,2,3,0,3
"WBGene00189931",0,0,5,0,0,0,0,1,1,1,0,9,252,2,70,1,4
"WBGene00189932",0,3,0,7914,0,2,0,3,7,4,6105,3,21,1,3,2791,1
"WBGene00189933",53,3,1,111,27,1,145,3,168,72,275,11,16,2,6,64,119
"WBGene00189937",0,0,4,9,0,1,3,11,1,2,15,0,60,1,2,0,23
"WBGene00189943",1,1,8,0,0,0,5,0,8,2,3,1,148,2,118,8,21
"WBGene00189947",4,1,0,18,0,1,17,2,73,2,11,3,148,2,17,10,5
"WBGene00189948",22,3,1,116,73,20,41,10,162,14,615,3,7,43,2,62,36
"WBGene00189949",2,5,207,46,6,3,9,2,74,6,21,6,183,4,355,26,18
"WBGene00189950",0,3,16,8,0,4,30,2,137,18,30,29,25,8,30,64,9
"WBGene00189952",19,9,126,172,36,13,35,48,92,11,106,542,407,20,355,126,101
"WBGene00189953",1,0,0,2,7,2,5,1,15,1,2,28,161,3,52,0,11
"WBGene00189954",23,42,30,0,23,51,231,1104,6,3,11,0,32,50,16,0,5641
"WBGene00189955",0,3,3,0,1,17,12,73,10,0,0,0,4,5,0,0,192
"WBGene00189956",9,6,10,42,2,5,23,0,78,22,143,49,54,4,36,14,23
"WBGene00189957",1,2,0,10,2,1,23,1,31,6,51,0,4,5,11,2,15
"WBGene00189958",752,310,372,909,1865,2381,1469,3030,956,348,902,629,462,1329,1339,1125,3901
"WBGene00189961",11,9,0,25332,9,7,21,10,496,28,30723,2,18,17,4,21182,100
"WBGene00189987",0,1,1,13,0,6,19,2,172,18,16,6,13,8,5,13,57
"WBGene00189993",266,2,1,15,195,2,295,2,7,3,26,6,8,26,5,12,58
"WBGene00189995",11475,4,0,87,14593,88,5912,39,15,19,539,108,34,1405,6,8,6148
"WBGene00194641",32,8,112,4217,25,5,189,6,1179,192,3775,264,961,5,677,3102,100
"WBGene00194642",380,56,572,451,606,397,1680,495,971,363,915,800,3411,345,790,745,4139
"WBGene00194643",7,4,12,56,21,8,46,15,125,6,30,87,546,18,68,31,159
"WBGene00194644",11,1,2,18,7,2,21,4,47,13,14,14,10,8,21,18,12
"WBGene00194645",0,4,0,0,0,1,11,4,0,0,2,2,4,3,2,0,13
"WBGene00194646",5,6,5,0,1,1,12,3,16,9,7,17,11,3,4,1,25
"WBGene00194647",0,0,40,1,1,5,11,11,14,0,0,28,1189,8,173,6,80
"WBGene00194649",19,5,78,43,21,4,31,27,458,7,23,55,150,10,123,41,134
"WBGene00194650",1999,60,231,1670,1970,242,2738,1072,2635,271,939,277,566,660,176,1057,12931
"WBGene00194651",2351,96,32,357,10612,7644,6985,6125,676,180,269,88,41,5821,119,415,5052
"WBGene00194652",2,1,12,1,0,2,2,0,55,2,0,1,56,5,47,0,20
"WBGene00194653",2,8,1,2,1,4,10,4,11,7,3,8,93,4,48,1,8
"WBGene00194654",29,1,30,18,27,5,36,7,127,4,2,17,916,13,175,4,47
"WBGene00194656",0,0,0,4,0,0,11,3,15,2,5,1,0,2,3,10,2
"WBGene00194658",8,1,1,501,14,5,211,14,301,46,458,31,920,15,48,275,361
"WBGene00194660",22,7,14,51,59,8,79,68,165,20,24,31,133,57,71,54,461
"WBGene00194661",112,8,3,2,297,6,176,83,17,1,6,1,22,89,7,3,705
"WBGene00194663",10,2,126,268,3,0,51,2,14,2,1508,18,4896,2,837,54,36
"WBGene00194664",20,3,9,43,17,1,64,3,182,30,28,106,197,5,34,30,65
"WBGene00194670",2,2,6,40,7,1,15,1,7,5,24,106,2377,5,143,17,32
"WBGene00194672",4,0,0,2,0,1,0,1,6,0,6,1,13,2,0,0,16
"WBGene00194674",22,14,1337,2759,46,4,33,27,178,72,3985,1278,9325,10,6690,1977,202
"WBGene00194675",13,2,9,4,0,9,18,3,29,4,4,1,20,0,31,1,66
"WBGene00194676",51,0,0,26,103,17,101,21,16,10,19,6,18,58,8,35,326
"WBGene00194677",2,2,8,121,9,9,42,7,135,15,72,13,68,7,12,247,119
"WBGene00194679",89,3,34,261,168,42,334,239,946,44,126,48,127,62,48,162,2316
"WBGene00194680",256,8,2,10,627,28,209,35,194,88,16,39,45,162,20,12,325
"WBGene00194682",6,6,57,91,53,22,77,151,29,11,92,38,1108,31,194,58,699
"WBGene00194684",22,5,0,54,7,0,88,5,83,9,30,0,4,5,1,53,95
"WBGene00194687",119,8,31,456,132,66,381,30,561,36,657,77,219,54,76,426,608
"WBGene00194689",177,4,0,22,90,1,378,15,20,4,14,1,0,13,0,12,26
"WBGene00194691",3,1,119,27,3,24,13,8,138,9,26,133,342,5,179,43,51
"WBGene00194692",152,1,25,263,80,0,418,3,1165,109,319,121,366,9,85,241,322
"WBGene00194695",19,7,21,478,15,12,44,5,264,36,426,77,104,6,60,265,110
"WBGene00194696",27,13,15,34,19,3,24,10,23,4,29,5,19,5,57,26,69
"WBGene00194697",8,2,9,14,17,14,38,23,19,6,6,26,192,13,94,13,32
"WBGene00194698",4,0,0,13,0,1,9,0,17,1,7,2,0,0,0,21,3
"WBGene00194699",56,2,3,80,116,22,93,53,7,35,69,5,12,54,9,57,200
"WBGene00194700",4,5,646,38,6,3,25,27,49,9,64,247,5377,7,1400,8,174
"WBGene00194701",0,5,3,0,0,3,7,3,6,5,0,32,222,5,22,0,8
"WBGene00194702",14,1,0,24,1,0,15,3,13,2,12,5,8,0,8,7,8
"WBGene00194703",2,6,1319,1,1,1,15,1,5,0,16,465,2313,6,4670,5,9
"WBGene00194704",0,4,0,1,1,11,10,6,4,5,17,0,47,6,3,2,25
"WBGene00194706",911,243,344,1744,1691,209,1243,718,710,189,1180,511,392,556,1498,1403,2062
"WBGene00194707",858,405,369,5544,1652,101,1970,582,1442,432,1575,753,560,545,1973,2594,2729
"WBGene00194708",53,4,31,199,27,3,104,18,147,57,129,246,237,9,98,142,88
"WBGene00194710",1527,3,1,127,1552,7,1400,28,110,25,89,5,27,111,10,66,560
"WBGene00194711",0,5,6,4,0,0,9,6,43,0,0,14,946,5,115,0,71
"WBGene00194712",10,0,1,23,1,3,8,19,15,8,6,2,4,1,3,2,42
"WBGene00194713",513,8,3,74,507,51,590,44,1949,49,43,38,13,117,31,32,312
"WBGene00194714",4,0,21,6,3,8,44,32,15,0,5,0,92,9,6,2,499
"WBGene00194715",1,2,38,4,0,1,6,5,15,0,2,7,133,8,44,1,11
"WBGene00194716",11,4,18,77,20,42,36,67,47,13,50,8,459,39,32,43,198
"WBGene00194717",3,0,39,222,0,2,8,2,99,11,133,40,103,5,61,213,21
"WBGene00194725",6,1,13,44,18,9,44,18,77,18,27,22,91,10,28,47,204
"WBGene00194726",37,2,29,723,26,2,133,19,346,44,650,53,576,16,83,447,217
"WBGene00194727",0,1,3,9,1,1,6,1,21,1,2,0,38,1,13,1,31
"WBGene00194729",22,0,0,17,106,37,64,34,367,13,9,1,21,63,5,18,274
"WBGene00194730",64,7,18,46,67,1,56,16,291,23,11,27,555,20,56,29,104
"WBGene00194731",19,0,13,24,38,22,36,32,89,15,186,35,135,29,4,96,129
"WBGene00194733",0,0,0,1,0,1,7,2,24,1,2,8,456,3,13,0,36
"WBGene00194734",0,1,0,2,3,0,1,0,3,3,2,0,1,6,6,0,5
"WBGene00194735",3,1,1,0,1,6,4,5,5,8,2,1,5,6,9,1,10
"WBGene00194737",170,5,5,24,64,1,322,8,271,43,53,17,228,5,13,5,426
"WBGene00194738",2,1,4,2202,0,1,26,0,25,13,35146,41,1680,2,6,80,52
"WBGene00194742",5,1,28,24,13,2,28,23,129,46,30,60,146,13,69,30,139
"WBGene00194744",5,5,1,9,2,0,16,11,53,14,2,0,5,5,5,3,21
"WBGene00194746",15,0,1,16,6,0,15,2,138,1,9,5,4,3,4,10,10
"WBGene00194747",47,8,32,493,24,5,647,35,724,51,386,76,279,6,81,259,756
"WBGene00194769",40,2,140,87,22,2,272,8,2690,341,175,576,558,13,312,66,130
"WBGene00194780",0,3,0,2,0,2,2,2,11,5,1,5,13,4,9,1,13
"WBGene00194783",1,2,7,1,2,5,27,59,4,3,1,0,56,5,9,0,719
"WBGene00194784",6,3,1,117,0,0,4,7,3,3,51,3,19,0,7,49,34
"WBGene00194785",11,1,14,10,1,0,15,1,20,4,2,11,378,2,53,6,17
"WBGene00194787",0,0,225,3,1,0,7,0,65,2,6,182,4562,0,526,4,49
"WBGene00194788",0,1,101,31,0,1,13,2,24,1,16,35,953,2,164,6,19
"WBGene00194793",4,0,7,0,0,0,8,1,50,3,0,1,108,4,53,2,3
"WBGene00194795",0,0,1,1,0,1,14,1,46,1,7,1,22,2,1,3,23
"WBGene00194799",0,2,0,0,4,1,3,19,1,2,3,0,2,4,0,1,18
"WBGene00194801",1,4,12,5,0,7,9,4,14,0,2,1,79,3,5,1,18
"WBGene00194803",15,4,2,6,6,0,87,3,119,4,7,8,8,8,3,3,50
"WBGene00194815",6,4,11,583,1,4,23,13,527,19,280,55,31,6,49,371,71
"WBGene00194816",1,0,199,2,1,1,9,6,15,4,11,92,627,3,360,7,15
"WBGene00194821",84,5,11,72,124,5,79,11,62,7,11,15,21,29,33,99,80
"WBGene00194832",25,0,1,36,19,2,140,7,107,8,106,14,83,1,4,45,307
"WBGene00194833",0,1,2,0,0,0,1,0,0,0,0,0,28,1,3,0,5
"WBGene00194835",365,3,3,15,1221,538,538,865,36,7,9,0,6,631,1,22,1110
"WBGene00194836",314,11,72,7193,800,664,2341,686,1251,105,2308,219,1182,619,207,1849,4791
"WBGene00194839",1,3,12,1,1,1,6,1,22,1,2,15,132,3,63,1,8
"WBGene00194844",1,3,1,0,6,3,5,4,28,2,0,1,8,4,2,1,70
"WBGene00194848",41,1,9,45,45,14,47,9,47,6,22,6,52,14,61,8,54
"WBGene00194849",44,1,12,40,96,5,68,10,53,5,12,13,93,32,106,21,40
"WBGene00194850",1,1,8,8,1,0,3,0,9,4,4,7,193,2,26,14,4
"WBGene00194852",72,2,50,225,106,5,103,67,24,27,112,106,118,60,544,176,101
"WBGene00194855",42,0,25,386,22,24,278,18,1223,252,544,147,1645,18,76,539,372
"WBGene00194861",55,155,42,182,48,28,60,195,23,7,156,25,96,21,488,80,922
"WBGene00194864",1,0,11,1,0,0,8,1,1,2,3,45,1850,5,195,1,48
"WBGene00194866",2,0,7,60,0,0,59,7,161,30,92,12,186,3,6,65,235
"WBGene00194867",1,2,0,16,0,1,16,0,7,5,146,1,4,3,1,5,9
"WBGene00194868",1,3,0,4,2,1,5,3,53,7,0,0,4,3,0,1,5
"WBGene00194869",4,0,24,72,0,1,38,1,275,42,139,109,238,0,30,29,22
"WBGene00194870",19,1,0,2,29,4,34,19,33,1,4,2,16,15,20,10,75
"WBGene00194871",0,0,0,1,0,1,0,6,23,1,2,0,0,5,2,0,7
"WBGene00194883",4,0,4,39,4,1,33,1,381,67,68,64,125,5,19,45,31
"WBGene00194886",5,1,58,0,3,1,25,1,18,4,0,20,306,1,67,1,5
"WBGene00194888",0,0,0,65,0,0,8,0,53,2,17,10,112,4,6,21,9
"WBGene00194891",5,2,1,10,5,8,3,6,13,5,5,4,12,2,3,18,30
"WBGene00194892",523,970,875,1322,915,258,1668,1023,344,68,541,464,569,601,2474,599,6197
"WBGene00194894",0,6,28,8,0,4,4,3,2,0,4,35,1217,8,178,5,6
"WBGene00194895",0,3,1,77,0,3,2,0,119,16,14,22,33,6,7,89,9
"WBGene00194896",2,26,5,46,14,30,64,132,117,4,39,2,120,21,26,80,990
"WBGene00194898",0,0,0,2,0,0,4,2,3,1,14,8,15,1,3,19,3
"WBGene00194902",2,2,4,624,0,1,21,5,83,4,423,7,18,0,3,346,20
"WBGene00194905",2,2,0,514,4,1,38,1,434,21,512,51,125,6,41,232,39
"WBGene00194906",52,7,325,177,59,19,100,43,42,36,132,142,834,32,959,120,441
"WBGene00194907",3,0,0,0,0,4,20,0,22,2,1,2,7,0,2,9,27
"WBGene00194908",181,13,187,462,274,65,548,160,2562,267,735,1686,1657,120,3756,496,372
"WBGene00194909",17,5,2,606,5,5,160,5,835,47,498,19,109,3,21,389,68
"WBGene00194910",21,4,7,473,2,3,47,13,345,55,375,16,96,5,26,295,122
"WBGene00194912",1,1,49,6,7,4,7,2,59,7,11,70,452,9,453,1,6
"WBGene00194913",5,0,0,0,10,0,6,1,48,0,0,0,1,4,1,0,7
"WBGene00194914",8,2,0,0,0,0,7,0,2,2,0,3,84,2,5,0,14
"WBGene00194915",1627,3,6,134,1302,39,1931,73,289,177,177,148,339,207,40,62,2326
"WBGene00194916",674,6,2,26,297,10,581,15,29,165,15,166,169,40,18,4,467
