,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00000735,10,17,239,14,749,139
WBGene00000736,6,91,7,279,9,7
WBGene00000737,4,31,2,572,1,1
WBGene00000738,4517,1330,51,125,7,1
WBGene00000739,203,32661,11398,2498,19260,579
WBGene00000740,58,14203,8153,1276,12674,147
WBGene00000741,1,3966,1781,71,4346,66
WBGene00000742,11,2310,3240,286,12044,52
WBGene00000743,0,709,478,14,2352,14
WBGene00000744,3,16,4,27,15,0
WBGene00000745,445,103,657,131,241,11
WBGene00000746,43,9,1883,274,515,21
WBGene00000747,716,69,229,417,134,9
WBGene00000748,7,21,4,83,3447,274
WBGene00000749,55,2666,1530,2155,14230,46
WBGene00000750,327,1105,71,131,65,11
WBGene00000751,2,20,20,122,81,39234
WBGene00000752,3,9,3,18,32,8640
WBGene00000753,2,60,1474,301,5622,214
WBGene00000754,52,327,30,209,133,94497
WBGene00000755,12,150,355,24,347,4
WBGene00000756,8,19,2,12582,3,0
WBGene00000757,12,78,60,279,150,34141
WBGene00000758,0,5,3,2817,4,0
WBGene00000759,175,372,167,71,173,40
WBGene00000760,14,25,12,21,7,1
WBGene00000761,3252,6835,1336,3152,3094,1127
WBGene00000762,1616,4675,722,3252,1290,1169
WBGene00000763,1566,2890,511,1949,703,472
WBGene00000764,568,1917,307,1331,499,343
WBGene00000765,2488,2248,894,1227,2201,951
WBGene00000766,3138,6150,1443,2630,2366,1028
WBGene00000767,4397,5741,2950,3161,4834,2140
WBGene00000768,5252,8508,1907,2399,2698,532
WBGene00000770,290,376,146,244,2751,2744
WBGene00000771,36,32,10,9,789,532
WBGene00000772,1148,555,372,2273,2428,7004
WBGene00000773,3434,2406,836,2172,1938,2829
WBGene00000774,3845,2735,1120,2192,1242,2036
WBGene00000775,4525,1431,348,1826,828,127
WBGene00000776,35669,62259,32702,60466,28820,80005
WBGene00000777,2920,2292,1089,5940,3627,5082
WBGene00000778,19590,336,888,172,1128,91
WBGene00000779,43570,38771,10461,17784,26182,13184
WBGene00000780,158,1967,1826,1530,2935,742
WBGene00000781,34,13103,19357,273,32401,19962
WBGene00000782,6,24288,74,1092,14,7
WBGene00000783,3,3514,291,117,1362,112
WBGene00000784,12,15529,22477,837,62217,15943
WBGene00000785,11,12452,38059,261,63243,5757
WBGene00000786,11079,56048,26995,26729,17670,40900
WBGene00000787,1228,7707,1877,23688,2905,890
WBGene00000788,12163,33414,11442,14080,7352,14159
WBGene00000789,3616,59973,7051,10698,12832,1520
WBGene00000792,23507,4580,2149,859,939,456
WBGene00000793,1868,70337,3095,2720,1134,1630
WBGene00000794,2025,2061,1471,1920,1740,4749
WBGene00000795,1348,2041,434,1859,491,227
WBGene00000796,6526,14273,1944,13879,3355,3319
WBGene00000797,279,634,41,59,176,590
WBGene00000798,2262,1439,373,2060,752,616
WBGene00000799,1555,1097,845,217,718,241
WBGene00000800,10691,23193,8304,12146,7492,6187
WBGene00000801,986,1205,307,473,338,222
WBGene00000802,166202,202642,84392,77827,149869,41102
WBGene00000803,2099,5394,629,1118,381,1017
WBGene00000804,935,469,273,448,273,1856
WBGene00000812,14417,7276,2627,3089,2048,2922
WBGene00000813,4113,5386,1322,3358,2302,1955
WBGene00000814,9122,5729,1698,9594,3788,3012
WBGene00000815,4793,3102,852,3335,2319,2057
WBGene00000816,2782,3020,1681,3191,1677,2327
WBGene00000817,4127,5271,1091,3710,2175,2946
WBGene00000818,3700,2732,1038,3203,1840,2053
WBGene00000819,15,726,22,140,15,19
WBGene00000820,26,1982,63,771,124,33
WBGene00000821,6,45,0,5,39,3
WBGene00000822,4758,88216,10276,44850,18740,6458
WBGene00000830,1555,379,343,3770,97,73
WBGene00000831,11231,45698,3943,17181,5530,3849
WBGene00000832,7977,25280,1533,11443,1722,813
WBGene00000833,47322,163645,57500,49274,88734,39877
WBGene00000834,3460,9826,2392,6973,3844,3813
WBGene00000835,8098,3803,3201,2113,4449,1104
WBGene00000836,5184,12394,2739,5880,3934,6377
WBGene00000837,15992,39758,5334,10093,5878,10991
WBGene00000838,13593,20237,2705,6276,4884,9353
WBGene00000839,8070,3360,1632,6563,2517,1979
WBGene00000840,6717,5232,1683,8081,2389,2175
WBGene00000841,264,575,153,326,602,141
WBGene00000843,10318,7485,2076,3868,4023,3230
WBGene00000845,4237,1692,444,664,893,140
WBGene00000846,4673,7957,1217,3077,1636,3389
WBGene00000851,11,30,13,8334,28,8
WBGene00000853,4631,585,241,1220,167,19
WBGene00000854,4864,3391,724,3753,1735,1168
WBGene00000857,10311,3384,610,1177,960,167
WBGene00000858,12923,4164,643,1579,427,51
WBGene00000859,0,49,1,1,1,1
WBGene00000860,7,43,4,23,5,2
WBGene00000861,4,38,2,26,0,0
WBGene00000862,8,3892,367,21,116,19
WBGene00000863,18480,2980,1551,1946,1285,3279
WBGene00000864,48,46,10,58,26,41
WBGene00000865,18040,1660,817,2670,3267,20855
WBGene00000866,620,573,36,482,237,5290
WBGene00000867,1179,444,66,585,327,6999
WBGene00000868,42553,5988,4120,2804,3074,59242
WBGene00000869,13937,45833,13975,17310,20394,12557
WBGene00000870,7370,12319,1801,733,884,623
WBGene00000871,2131,1137,627,2584,1058,3537
WBGene00000872,9362,17556,969,14119,2032,2922
WBGene00000874,9534,13172,3041,9005,4860,4514
WBGene00000875,12002,5788,1849,2126,3725,13813
WBGene00000876,7565,16788,1763,8767,2557,3589
WBGene00000877,6856,7069,3552,6399,6938,2378
WBGene00000878,32,164,19,147,792,651
WBGene00000879,24037,23372,13351,15350,10429,6655
WBGene00000880,5305,2484,856,4952,1584,1217
WBGene00000881,44349,27240,14189,16217,22095,10603
WBGene00000882,20631,1798,3002,3602,13875,622
WBGene00000883,21297,71933,29724,80557,35459,38056
WBGene00000884,4550,4871,888,1550,966,1617
WBGene00000885,293,155,82,1758,540,662
WBGene00000886,2316,757,244,997,446,1050
WBGene00000887,3629,1075,444,1310,698,917
WBGene00000888,3827,1324,689,1540,993,1141
WBGene00000889,4640,5235,869,2730,1545,1929
WBGene00000890,4227,2584,773,3481,1432,1606
WBGene00000891,3326,2116,1068,2223,1905,1235
WBGene00000892,1896,2395,583,1549,781,890
WBGene00000893,2715,216,2527,156,920,7
WBGene00000894,19064,86577,8967,35139,6338,13300
WBGene00000895,466,1473,141,514,179,25
WBGene00000896,13942,7306,3056,3807,7140,4052
WBGene00000897,4000,26800,1784,3136,1242,2267
WBGene00000898,9270,223700,7595,18158,3989,10418
WBGene00000899,10027,40011,2137,4434,1526,1266
WBGene00000900,6228,47415,2428,8168,1910,1876
WBGene00000901,9463,188081,4538,8293,1935,2405
WBGene00000902,2526,725,1570,218,1356,31
WBGene00000903,1022,25024,1819,7108,684,133
WBGene00000904,4068,4455,667,1494,326,165
WBGene00000905,14,1173,391,407,557,61
WBGene00000906,3647,966,184,769,107,21
WBGene00000907,1119,1058,271,1505,118,8
WBGene00000908,2248,41042,9133,53227,3577,843
WBGene00000910,2887,6819,1156,3851,741,186
WBGene00000911,19947,46591,6250,17086,7146,8203
WBGene00000912,28257,289822,8290,57866,7865,5766
WBGene00000913,4936,7593,1009,4179,1840,16604
WBGene00000914,14795,34646,1616,5349,1231,1228
WBGene00000915,47133,760656,81714,746096,134812,140144
WBGene00000917,2842,2173,504,1397,1001,739
WBGene00000920,3,2915,1051,135,360,59
WBGene00000923,8275,6279,1730,2696,3447,1894
WBGene00000928,194555,163,23847,599,36116,158
WBGene00000929,11957,6913,2076,9978,1846,1166
WBGene00000930,23,9,12,5,173,12
WBGene00000931,28341,85057,7802,32864,9885,7986
WBGene00000932,299,10064,136,20300,88,2
WBGene00000933,4860,4622,1417,3121,3105,1118
WBGene00000934,26,14183,511,1491,263,34
WBGene00000935,1171,2201,1254,4245,3386,11057
WBGene00000936,414,14361,636,2684,745,190
WBGene00000937,2679,2693,589,2251,879,770
WBGene00000938,43741,67680,10708,21807,6428,5262
WBGene00000939,10592,7985,3469,9815,6451,6235
WBGene00000940,1740,4323,778,1387,1467,856
WBGene00000941,4699,9254,3054,2236,4302,2205
WBGene00000942,74546,206630,33157,11522,23106,5960
WBGene00000950,1127,2821,312,2291,427,78
WBGene00000951,51,4575,528,3231,477,56
WBGene00000952,216,1083,156,184,161,23
WBGene00000953,3160,644,148,519,83,10
WBGene00000955,86,7407,1062,4827,785,112
WBGene00000958,6924,21106,1592,5687,888,228
WBGene00000959,10000,14897,2492,7914,3142,1078
WBGene00000960,125,2713,140,515,61,12
WBGene00000961,36001,29602,7727,2835,4632,1784
WBGene00000962,26718,52585,21954,33671,31501,31739
WBGene00000963,2564,8836,1256,6944,2274,383
WBGene00000964,4613,10267,1185,2913,2182,481
WBGene00000965,1480,7699,1214,3886,1316,1626
WBGene00000966,648,3723,351,192,567,240
WBGene00000967,2088,8868,3071,6176,5980,1478
WBGene00000968,1454,528,299,419,965,83
WBGene00000969,9376,7898,3320,947,2185,168
WBGene00000970,10450,6164,1803,5375,3217,1900
WBGene00000971,0,381,93,445,779,83
WBGene00000972,3869,169,110,43,114,11
WBGene00000973,4541,5998,1190,3879,1347,618
WBGene00000974,72,73,38,554,245,502
WBGene00000975,532,11538,935,3694,2001,2010
WBGene00000976,3165,72679,2294,8170,2330,4385
WBGene00000977,4,2576,384,265,886,341
WBGene00000978,8,2462,66,1297,75,16
WBGene00000979,3381,415,468,63,323,11
WBGene00000980,543,5582,215,4162,194,345
WBGene00000981,1787,18868,1065,557,1851,585
WBGene00000982,1890,3022,548,5865,1874,523
WBGene00000983,234,7087,639,195,1168,310
WBGene00000984,6217,3541,1220,3445,3202,553
WBGene00000985,5655,18662,3676,7118,3389,3494
WBGene00000986,13,358,165,54,129,16
WBGene00000987,1857,1835,986,2376,1098,801
WBGene00000988,3288,6133,2297,2119,5810,1965
WBGene00000989,5,396,15,108,13,283
WBGene00000990,15620,891,1302,138,2018,271
WBGene00000991,17641,11283,9462,5333,16453,4814
WBGene00000992,11815,1477,1694,4274,2854,136
WBGene00000993,940,5563,902,1347,1211,1031
WBGene00000994,4243,2456,835,3405,1844,2093
WBGene00000995,29827,33836,3529,3426,2842,5043
WBGene00000996,9714,5670,2602,3260,4220,2775
WBGene00000998,23735,174704,25044,17954,10904,5384
WBGene00001000,35211,72621,27500,4328,40072,8603
WBGene00001001,7459,5688,2001,6807,4098,3314
WBGene00001002,3576,2837,803,2405,1251,2721
WBGene00001005,42169,20173,19279,9508,15371,10805
WBGene00001006,140223,96919,10015,7347,8122,2201
WBGene00001007,7831,10564,2637,5357,3708,2741
WBGene00001008,5289,57759,5373,9744,4484,1616
WBGene00001016,1630,1494,640,2433,1471,3440
WBGene00001017,13342,13041,3277,9326,5510,4319
WBGene00001018,7261,2921,1192,2761,2471,1540
WBGene00001019,9704,10882,1650,5553,3488,2065
WBGene00001020,6612,1023,1819,1628,2179,939
WBGene00001021,568,129,91,801,244,77
WBGene00001022,936,538,157,1393,371,337
WBGene00001023,28677,87772,3510,12685,6974,16985
WBGene00001025,13152,11828,4258,3832,6998,1504
WBGene00001026,15129,19086,2087,5942,3104,2844
WBGene00001027,3600,3843,2011,3491,3558,2077
WBGene00001028,3502,8369,1145,3288,2706,1073
WBGene00001029,9123,3324,2446,5465,6098,5500
WBGene00001030,14923,47074,6872,50705,12182,9384
WBGene00001031,10664,126049,14619,15984,9758,5535
WBGene00001032,4656,11864,1312,2650,1647,842
WBGene00001033,1984,1297,369,1711,617,389
WBGene00001034,5799,3728,928,3630,2200,1375
WBGene00001035,3102,2328,669,2301,1539,1274
WBGene00001036,1356,774,767,1496,744,698
WBGene00001037,16921,42830,7931,29821,12309,8770
WBGene00001038,48204,72418,11448,23078,12698,3390
WBGene00001039,2241,1016,425,1283,783,190
WBGene00001040,2825,821,278,2648,971,830
WBGene00001041,3665,2560,552,1900,1193,2313
WBGene00001042,8010,4841,5503,3670,2751,297
WBGene00001043,5864,11675,3289,4090,2879,3137
WBGene00001044,168,93,67,1239,184,253
WBGene00001045,15566,3231,2790,708,3783,1130
WBGene00001046,250,385,191,467,882,1106
WBGene00001047,20848,26789,8385,6370,10427,6091
WBGene00001048,4205,2526,524,1906,955,677
WBGene00001049,2999,1733,1246,3577,1617,2307
WBGene00001050,1483,978,271,1516,469,531
WBGene00001051,12648,4353,3299,3003,1743,3481
WBGene00001052,77,8460,407,2887,259,39
WBGene00001053,41,4084,596,2918,317,108
WBGene00001054,256,6400,735,2478,628,138
WBGene00001055,900,4046,645,2015,2084,1305
WBGene00001056,9776,14503,4516,10136,7903,9321
WBGene00001057,3730,4306,1944,6279,3810,2019
WBGene00001058,1827,10782,2839,6719,5770,8621
WBGene00001059,760,7310,3734,11606,2469,169
WBGene00001060,3651,2928,646,1898,1230,1619
WBGene00001061,4999,5115,958,2938,1406,3835
WBGene00001062,5,36,6,24,1,0
WBGene00001063,5997,806,3216,1509,951,20
WBGene00001064,48363,177,12760,148,10463,56
WBGene00001065,29173,82,10407,135,8700,36
WBGene00001066,36,85,39289,404,15502,563
WBGene00001067,327,567,29476,148,14701,414
WBGene00001068,12,3046,10735,204,12950,179
WBGene00001069,43152,79,11468,117,9013,23
WBGene00001070,59,123,18360,265,16577,81
WBGene00001071,144,56,6827,124,10811,73
WBGene00001072,89079,477,9714,251,14033,139
WBGene00001073,48553,19590,12197,7408,20281,4400
WBGene00001074,56,48,38795,213,13729,524
WBGene00001075,285905,1613,30,37,25,232
WBGene00001076,270384,1396,91,75,131,260
WBGene00001077,24918,6892,9057,2515,14222,1475
WBGene00001078,4746,2414,618,1353,1261,237
WBGene00001079,21,49,1426,65,878,4
WBGene00001080,26189,110031,6274,10361,3197,7090
WBGene00001081,25626,54860,8542,17799,6251,5150
WBGene00001082,16920,22268,6471,3615,4039,2278
WBGene00001085,15090,10201,3239,7580,4594,6299
WBGene00001086,26498,27387,5695,7630,4411,3414
WBGene00001087,10380,27752,4464,4130,2806,6340
WBGene00001088,18679,18169,2610,4258,4288,4526
WBGene00001089,31862,19250,11650,10815,10881,1292
WBGene00001090,1650,1590,1226,4667,2536,1940
WBGene00001092,301,45,79,326,42,88
WBGene00001093,5871,9625,3309,8808,4544,5931
WBGene00001094,11849,24632,10201,14617,19004,12090
WBGene00001095,1421,1744,560,2470,1359,726
WBGene00001096,348,860,33,98,31,11
WBGene00001099,7649,22008,8026,4356,16489,2778
WBGene00001101,16769,48812,3268,7480,2336,1036
WBGene00001102,4930,2184,655,469,1134,5233
WBGene00001103,23,54,3,25,2,172
WBGene00001104,180,61,7,6,2,1206
WBGene00001105,8478,65,11,19,30,56
WBGene00001106,11,164,7,8,6,0
WBGene00001107,2,88,36,81,29,1
WBGene00001108,25789,64,8,3,0,3
WBGene00001109,2032,577,71,1053,63,4
WBGene00001110,459,571,215,1796,726,1283
WBGene00001112,2515,2834,1033,3766,1764,2235
WBGene00001113,111,24953,8609,35956,6431,515
WBGene00001115,6182,7180,677,899,473,183
WBGene00001116,2990,34143,2706,3093,1453,243
WBGene00001117,3400,3537,301,1429,129,33
WBGene00001118,3422,5631,398,1789,231,106
WBGene00001119,741,1142,81,404,153,183
WBGene00001121,4658,1073,153,1362,100,15
WBGene00001122,1178,4174,348,1304,135,26
WBGene00001123,25819,1013,128,60,200,50
WBGene00001127,1050,1150,81,476,59,15
WBGene00001129,924,1531,71,447,45,7
WBGene00001130,14660,153967,8791,9890,5511,6224
WBGene00001131,48972,88262,8244,13973,8778,2807
WBGene00001132,15694,52242,8308,4813,20387,3522
WBGene00001133,102,2103,55,94,51,8
WBGene00001134,7640,8979,3240,7079,4846,4055
WBGene00001135,21,7645,811,1793,368,55
WBGene00001136,265,316,59,71,164,17
WBGene00001137,68144,1231361,58849,176458,108463,60735
WBGene00001145,13006,45077,5643,7468,3067,708
WBGene00001147,182,280,44,51,38,7
WBGene00001148,11985,17471,8233,4157,3770,3493
WBGene00001149,1651,225028,16159,8216,12762,6319
WBGene00001150,1994,150,69,79,547,138
WBGene00001151,2072,2716,694,2095,1479,702
WBGene00001152,1073,2218,255,1659,541,208
WBGene00001153,7608,9442,2264,3259,4451,2435
WBGene00001154,641,1391,864,679,1137,834
WBGene00001155,8915,18743,8190,4908,27255,10831
WBGene00001156,78,2827,1080,552,2245,949
WBGene00001157,2310,1604,429,1601,1210,252
WBGene00001158,2,390,33,42,372,32
WBGene00001159,5351,6296,1888,1382,2180,83
WBGene00001160,5588,43408,2778,25908,3963,4179
WBGene00001161,2974,2210,468,1273,590,1603
WBGene00001162,1150,6066,366,854,164,431
WBGene00001163,25998,5855,1995,1432,1832,103
WBGene00001164,0,4,2,3,6,103
WBGene00001165,7218,1664,301,363,271,400
WBGene00001166,13550,17581,7970,11933,12105,12921
WBGene00001167,163193,943381,196157,838546,307431,251174
WBGene00001168,285078,1634892,382933,1303599,720296,879089
WBGene00001169,258696,692245,132994,199300,153546,29874
WBGene00001170,2297,410,19,31,18,20
WBGene00001171,871,12422,577,1371,437,87
WBGene00001172,1874,840240,23923,179907,9485,3106
WBGene00001173,15267,235733,11967,41699,11524,11713
WBGene00001174,2437,2008,227,616,120,24
WBGene00001175,297,975,59,721,78,280
WBGene00001177,9549,161027,6329,21033,6400,2605
WBGene00001178,4378,29012,3351,11989,2806,1077
WBGene00001179,5746,18596,1629,5160,1156,535
WBGene00001182,6930,33114,3039,3088,2541,306
WBGene00001184,7290,16858,2141,5052,2241,481
WBGene00001185,419,485,116,80,82,6
WBGene00001186,25616,22018,2632,1669,717,2486
WBGene00001187,23004,50561,7386,10537,4100,952
WBGene00001188,1900,10588,1149,1033,721,72
WBGene00001189,1030,291315,16656,97944,9231,2714
WBGene00001190,100,5428,549,2277,815,204
WBGene00001193,10195,10030,339,943,482,525
WBGene00001194,38704,116340,7767,23509,6981,13420
WBGene00001196,85953,315140,29577,19839,14954,5502
WBGene00001202,19,3063,170,1234,209,84
WBGene00001204,4048,1951,361,375,119,13
WBGene00001207,9717,18239,883,2595,322,104
WBGene00001208,19736,37879,6836,8336,3647,635
WBGene00001209,21097,33998,17828,25348,23051,20196
WBGene00001210,54720,5948,579,773,129,25
WBGene00001211,21,3808,404,1207,122,13
WBGene00001214,858,804,501,5013,3144,4182
WBGene00001215,7854,26800,5016,9969,3921,4275
WBGene00001223,1032,54,4,9,0,0
WBGene00001224,8146,29928,2458,4670,2747,3924
WBGene00001225,11868,42163,7148,38566,11097,8917
WBGene00001226,17991,19222,15503,15685,29256,16384
WBGene00001227,10841,26066,8089,12514,13917,9227
WBGene00001228,5529,16363,3599,6505,5254,4089
WBGene00001229,15527,21279,4740,23765,9439,5111
WBGene00001230,8083,12856,4300,13972,6189,4919
WBGene00001231,6521,7624,3385,3840,6728,3903
WBGene00001232,4499,12112,3677,8981,4013,4262
WBGene00001233,9418,17272,6887,4801,5770,2794
WBGene00001234,5313,7371,1875,4463,3412,3785
WBGene00001235,2879,2777,782,1215,906,1217
WBGene00001236,7128,3760,1503,1847,835,1958
WBGene00001237,5,137,18,1,9,6
WBGene00001239,2290,72956,13543,14474,39107,12462
WBGene00001240,3217,9108,5805,2696,19368,3877
WBGene00001241,6583,7526,5574,4349,6695,3979
WBGene00001242,3670,187,1040,961,1064,60
WBGene00001243,20,9518,7053,2667,31504,5439
WBGene00001244,7089,13273,8049,3279,41789,5530
WBGene00001245,13,56,8,5,447,56
WBGene00001246,5,125,2,20,128,157
WBGene00001247,1901,2105,437,858,690,197
WBGene00001248,6847,3396,410,2077,875,238
WBGene00001249,8716,11629,1687,2637,789,560
WBGene00001250,4782,6756,706,1236,1409,345
WBGene00001251,15831,21779,1923,7139,2115,497
WBGene00001252,309,267,40,491,50,8
WBGene00001253,6229,7240,813,973,306,153
WBGene00001258,9272,19424,8418,7618,6579,8473
WBGene00001259,27240,20502,6217,14851,12136,14559
WBGene00001262,10284,80173,12103,18204,12418,6892
WBGene00001263,88502,133646,38601,10943,53021,27763
WBGene00001281,4732,3288,1397,3110,2043,3300
WBGene00001284,8849,4291,2125,6102,2975,2396
WBGene00001303,36404,15413,15594,4467,19795,7215
WBGene00001309,2448,3614,1366,1569,900,1103
WBGene00001310,21,41,7,3,1,7
WBGene00001311,54,65,6,8,3,9
WBGene00001320,7760,10939,3013,14592,6771,8955
WBGene00001324,6458,13678,1532,3486,1958,3575
WBGene00001325,10323,20342,1321,2746,1103,990
WBGene00001328,76979,24454,23556,7159,37736,10810
WBGene00001329,33764,228952,12052,17189,6348,7082
WBGene00001330,43102,97600,13060,11655,13378,3396
WBGene00001331,26764,17800,6292,6187,9499,1818
WBGene00001332,1378,1480,650,2542,906,1284
WBGene00001333,44963,165944,20221,17053,31813,15516
WBGene00001334,8519,14207,2855,4343,3505,1972
WBGene00001335,4607,9285,1185,2126,684,494
WBGene00001336,5482,16360,4368,9224,8432,6468
WBGene00001337,16977,30965,12103,19991,19108,14737
WBGene00001338,3520,2040,499,2992,1276,281
WBGene00001340,18390,27920,2945,5664,5778,4132
WBGene00001345,5803,39639,3467,5508,2569,566
WBGene00001352,14131,8093,3315,7951,3334,3406
WBGene00001358,1689,1712,205,1494,414,299
WBGene00001365,12493,5903,2386,1897,1269,1037
WBGene00001366,8700,13209,1306,5982,1808,206
WBGene00001368,13014,20017,4897,6557,2100,508
WBGene00001371,701,1760,368,1483,1527,924
WBGene00001372,673,293,184,812,507,1550
WBGene00001373,128,905,119,372,149,18
WBGene00001374,879,22554,750,4731,707,101
WBGene00001377,6036,3206,145,289,63,287
WBGene00001385,55746,203355,63392,137212,74406,29523
WBGene00001386,719,13248,7401,2515,84473,63568
WBGene00001387,6254,5295,350,9333,439,180
WBGene00001388,11,94,8,91,22,4
WBGene00001389,892,414,280,2261,1073,65
WBGene00001390,222,5440,714,8893,2294,1276
WBGene00001391,12,12248,416,17465,929,88
WBGene00001392,9,9955,3137,7616,5211,1668
WBGene00001393,2883,59346,16584,64818,35119,24457
WBGene00001394,614,120413,23139,19903,53086,34470
WBGene00001395,5836,51111,7207,2930,12282,5066
WBGene00001396,8196,38910,7506,22049,20842,7264
WBGene00001397,109,1379,547,1876,852,971
WBGene00001398,231,107256,13485,16036,35355,15744
WBGene00001399,26,410,34,7,495,453
WBGene00001400,3381,3989,94,291,75,9
WBGene00001401,311,120,362,2434,1354,1342
WBGene00001402,236,153,312,1308,1527,1126
WBGene00001403,1057,13773,1125,7639,2163,542
WBGene00001404,9261,36783,9211,6613,11425,8970
WBGene00001405,11467,11906,2288,7067,4736,2505
WBGene00001406,2752,2171,557,1172,1073,678
WBGene00001410,1717,38664,886,2387,952,182
WBGene00001411,4861,11404,2555,9116,3781,3121
WBGene00001412,978,5502,671,2485,1653,3242
WBGene00001413,998,697,118,542,306,1377
WBGene00001414,219,195,33,83,1298,111
WBGene00001423,22091,43911,8012,13485,20832,25356
WBGene00001424,1,6,5,55,45,57
WBGene00001425,1965,2712,566,992,957,808
WBGene00001426,32267,22153,7864,7283,9308,3770
WBGene00001427,42770,37220,17794,31062,14250,11150
WBGene00001428,16662,2651,4369,1225,6415,484
